"id","country_id:id","state_id:id","l10n_mx_edi_code","name","name@es_419"
"res_city_mx_chh_053","base.mx","base.state_mx_chih","053","Praxedis G. Guerrero","Praxedis G. Guerrero"
"res_city_mx_chh_054","base.mx","base.state_mx_chih","054","Riva Palacio","Riva Palacio"
"res_city_mx_chh_055","base.mx","base.state_mx_chih","055","Rosales","Rosales"
"res_city_mx_chh_056","base.mx","base.state_mx_chih","056","Rosario","Rosario"
"res_city_mx_chh_057","base.mx","base.state_mx_chih","057","San Francisco de Borja","San Francisco de Borja"
"res_city_mx_chh_058","base.mx","base.state_mx_chih","058","San Francisco de Conchos","San Francisco de Conchos"
"res_city_mx_chh_059","base.mx","base.state_mx_chih","059","San Francisco del Oro","San Francisco del Oro"
"res_city_mx_chh_060","base.mx","base.state_mx_chih","060","Santa Bárbara","Santa Bárbara"
"res_city_mx_chh_061","base.mx","base.state_mx_chih","061","Satevó","Satevó"
"res_city_mx_chh_062","base.mx","base.state_mx_chih","062","Saucillo","Saucillo"
"res_city_mx_chh_063","base.mx","base.state_mx_chih","063","Temósachic","Temósachic"
"res_city_mx_chh_064","base.mx","base.state_mx_chih","064","El Tule","El Tule"
"res_city_mx_chh_065","base.mx","base.state_mx_chih","065","Urique","Urique"
"res_city_mx_chh_066","base.mx","base.state_mx_chih","066","Uruachi","Uruachi"
"res_city_mx_chh_067","base.mx","base.state_mx_chih","067","Valle de Zaragoza","Valle de Zaragoza"
"res_city_mx_chp_001","base.mx","base.state_mx_chis","001","Acacoyagua","Acacoyagua"
"res_city_mx_chp_002","base.mx","base.state_mx_chis","002","Acala","Acala"
"res_city_mx_chp_003","base.mx","base.state_mx_chis","003","Acapetahua","Acapetahua"
"res_city_mx_chp_004","base.mx","base.state_mx_chis","004","Altamirano","Altamirano"
"res_city_mx_chp_005","base.mx","base.state_mx_chis","005","Amatán","Amatán"
"res_city_mx_chp_006","base.mx","base.state_mx_chis","006","Amatenango de la Frontera","Amatenango de la Frontera"
"res_city_mx_chp_007","base.mx","base.state_mx_chis","007","Amatenango del Valle","Amatenango del Valle"
"res_city_mx_chp_008","base.mx","base.state_mx_chis","008","Angel Albino Corzo","Angel Albino Corzo"
"res_city_mx_chp_009","base.mx","base.state_mx_chis","009","Arriaga","Arriaga"
"res_city_mx_chp_010","base.mx","base.state_mx_chis","010","Bejucal de Ocampo","Bejucal de Ocampo"
"res_city_mx_chp_011","base.mx","base.state_mx_chis","011","Bella Vista","Bella Vista"
"res_city_mx_chp_012","base.mx","base.state_mx_chis","012","Berriozábal","Berriozábal"
"res_city_mx_chp_013","base.mx","base.state_mx_chis","013","Bochil","Bochil"
"res_city_mx_chp_014","base.mx","base.state_mx_chis","014","El Bosque","El Bosque"
"res_city_mx_chp_015","base.mx","base.state_mx_chis","015","Cacahoatán","Cacahoatán"
"res_city_mx_chp_016","base.mx","base.state_mx_chis","016","Catazajá","Catazajá"
"res_city_mx_chp_017","base.mx","base.state_mx_chis","017","Cintalapa","Cintalapa"
"res_city_mx_chp_018","base.mx","base.state_mx_chis","018","Coapilla","Coapilla"
"res_city_mx_chp_019","base.mx","base.state_mx_chis","019","Comitán de Domínguez","Comitán de Domínguez"
"res_city_mx_chp_020","base.mx","base.state_mx_chis","020","La Concordia","La Concordia"
"res_city_mx_chp_021","base.mx","base.state_mx_chis","021","Copainalá","Copainalá"
"res_city_mx_chp_022","base.mx","base.state_mx_chis","022","Chalchihuitán","Chalchihuitán"
"res_city_mx_chp_023","base.mx","base.state_mx_chis","023","Chamula","Chamula"
"res_city_mx_chp_024","base.mx","base.state_mx_chis","024","Chanal","Chanal"
"res_city_mx_chp_025","base.mx","base.state_mx_chis","025","Chapultenango","Chapultenango"
"res_city_mx_chp_026","base.mx","base.state_mx_chis","026","Chenalhó","Chenalhó"
"res_city_mx_chp_027","base.mx","base.state_mx_chis","027","Chiapa de Corzo","Chiapa de Corzo"
"res_city_mx_chp_028","base.mx","base.state_mx_chis","028","Chiapilla","Chiapilla"
"res_city_mx_chp_029","base.mx","base.state_mx_chis","029","Chicoasén","Chicoasén"
"res_city_mx_chp_030","base.mx","base.state_mx_chis","030","Chicomuselo","Chicomuselo"
"res_city_mx_chp_031","base.mx","base.state_mx_chis","031","Chilón","Chilón"
"res_city_mx_chp_032","base.mx","base.state_mx_chis","032","Escuintla","Escuintla"
"res_city_mx_chp_033","base.mx","base.state_mx_chis","033","Francisco León","Francisco León"
"res_city_mx_chp_034","base.mx","base.state_mx_chis","034","Frontera Comalapa","Frontera Comalapa"
"res_city_mx_chp_035","base.mx","base.state_mx_chis","035","Frontera Hidalgo","Frontera Hidalgo"
"res_city_mx_chp_036","base.mx","base.state_mx_chis","036","La Grandeza","La Grandeza"
"res_city_mx_chp_037","base.mx","base.state_mx_chis","037","Huehuetán","Huehuetán"
"res_city_mx_chp_038","base.mx","base.state_mx_chis","038","Huixtán","Huixtán"
"res_city_mx_chp_039","base.mx","base.state_mx_chis","039","Huitiupán","Huitiupán"
"res_city_mx_chp_040","base.mx","base.state_mx_chis","040","Huixtla","Huixtla"
"res_city_mx_chp_041","base.mx","base.state_mx_chis","041","La Independencia","La Independencia"
"res_city_mx_chp_042","base.mx","base.state_mx_chis","042","Ixhuatán","Ixhuatán"
"res_city_mx_chp_043","base.mx","base.state_mx_chis","043","Ixtacomitán","Ixtacomitán"
"res_city_mx_chp_044","base.mx","base.state_mx_chis","044","Ixtapa","Ixtapa"
"res_city_mx_chp_045","base.mx","base.state_mx_chis","045","Ixtapangajoya","Ixtapangajoya"
"res_city_mx_chp_046","base.mx","base.state_mx_chis","046","Jiquipilas","Jiquipilas"
"res_city_mx_chp_047","base.mx","base.state_mx_chis","047","Jitotol","Jitotol"
"res_city_mx_chp_048","base.mx","base.state_mx_chis","048","Juárez","Juárez"
"res_city_mx_chp_049","base.mx","base.state_mx_chis","049","Larráinzar","Larráinzar"
"res_city_mx_chp_050","base.mx","base.state_mx_chis","050","La Libertad","La Libertad"
"res_city_mx_chp_051","base.mx","base.state_mx_chis","051","Mapastepec","Mapastepec"
"res_city_mx_chp_052","base.mx","base.state_mx_chis","052","Las Margaritas","Las Margaritas"
"res_city_mx_chp_053","base.mx","base.state_mx_chis","053","Mazapa de Madero","Mazapa de Madero"
"res_city_mx_chp_054","base.mx","base.state_mx_chis","054","Mazatán","Mazatán"
"res_city_mx_chp_055","base.mx","base.state_mx_chis","055","Metapa","Metapa"
"res_city_mx_chp_056","base.mx","base.state_mx_chis","056","Mitontic","Mitontic"
"res_city_mx_chp_057","base.mx","base.state_mx_chis","057","Motozintla","Motozintla"
"res_city_mx_chp_058","base.mx","base.state_mx_chis","058","Nicolás Ruíz","Nicolás Ruíz"
"res_city_mx_chp_059","base.mx","base.state_mx_chis","059","Ocosingo","Ocosingo"
"res_city_mx_chp_060","base.mx","base.state_mx_chis","060","Ocotepec","Ocotepec"
"res_city_mx_chp_061","base.mx","base.state_mx_chis","061","Ocozocoautla de Espinosa","Ocozocoautla de Espinosa"
"res_city_mx_chp_062","base.mx","base.state_mx_chis","062","Ostuacán","Ostuacán"
"res_city_mx_chp_063","base.mx","base.state_mx_chis","063","Osumacinta","Osumacinta"
"res_city_mx_chp_064","base.mx","base.state_mx_chis","064","Oxchuc","Oxchuc"
"res_city_mx_chp_065","base.mx","base.state_mx_chis","065","Palenque","Palenque"
"res_city_mx_chp_066","base.mx","base.state_mx_chis","066","Pantelhó","Pantelhó"
"res_city_mx_chp_067","base.mx","base.state_mx_chis","067","Pantepec","Pantepec"
"res_city_mx_chp_100","base.mx","base.state_mx_chis","100","Tumbalá","Tumbalá"
"res_city_mx_chp_101","base.mx","base.state_mx_chis","101","Tuxtla Gutiérrez","Tuxtla Gutiérrez"
"res_city_mx_chp_102","base.mx","base.state_mx_chis","102","Tuxtla Chico","Tuxtla Chico"
"res_city_mx_chp_103","base.mx","base.state_mx_chis","103","Tuzantán","Tuzantán"
"res_city_mx_chp_104","base.mx","base.state_mx_chis","104","Tzimol","Tzimol"
"res_city_mx_chp_105","base.mx","base.state_mx_chis","105","Unión Juárez","Unión Juárez"
"res_city_mx_chp_106","base.mx","base.state_mx_chis","106","Venustiano Carranza","Venustiano Carranza"
"res_city_mx_chp_107","base.mx","base.state_mx_chis","107","Villa Corzo","Villa Corzo"
"res_city_mx_chp_108","base.mx","base.state_mx_chis","108","Villaflores","Villaflores"
"res_city_mx_chp_109","base.mx","base.state_mx_chis","109","Yajalón","Yajalón"
"res_city_mx_chp_110","base.mx","base.state_mx_chis","110","San Lucas","San Lucas"
"res_city_mx_chp_111","base.mx","base.state_mx_chis","111","Zinacantán","Zinacantán"
"res_city_mx_chp_112","base.mx","base.state_mx_chis","112","San Juan Cancuc","San Juan Cancuc"
"res_city_mx_chp_113","base.mx","base.state_mx_chis","113","Aldama","Aldama"
"res_city_mx_chp_114","base.mx","base.state_mx_chis","114","Benemérito de las Américas","Benemérito de las Américas"
"res_city_mx_chp_115","base.mx","base.state_mx_chis","115","Maravilla Tenejapa","Maravilla Tenejapa"
"res_city_mx_chp_116","base.mx","base.state_mx_chis","116","Marqués de Comillas","Marqués de Comillas"
"res_city_mx_chp_117","base.mx","base.state_mx_chis","117","Montecristo de Guerrero","Montecristo de Guerrero"
"res_city_mx_chp_118","base.mx","base.state_mx_chis","118","San Andrés Duraznal","San Andrés Duraznal"
"res_city_mx_chp_119","base.mx","base.state_mx_chis","119","Santiago el Pinar","Santiago el Pinar"
"res_city_mx_chp_068","base.mx","base.state_mx_chis","068","Pichucalco","Pichucalco"
"res_city_mx_chp_069","base.mx","base.state_mx_chis","069","Pijijiapan","Pijijiapan"
"res_city_mx_chp_070","base.mx","base.state_mx_chis","070","El Porvenir","El Porvenir"
"res_city_mx_chp_071","base.mx","base.state_mx_chis","071","Villa Comaltitlán","Villa Comaltitlán"
"res_city_mx_chp_072","base.mx","base.state_mx_chis","072","Pueblo Nuevo Solistahuacán","Pueblo Nuevo Solistahuacán"
"res_city_mx_chp_073","base.mx","base.state_mx_chis","073","Rayón","Rayón"
"res_city_mx_chp_074","base.mx","base.state_mx_chis","074","Reforma","Reforma"
"res_city_mx_chp_075","base.mx","base.state_mx_chis","075","Las Rosas","Las Rosas"
"res_city_mx_chp_076","base.mx","base.state_mx_chis","076","Sabanilla","Sabanilla"
"res_city_mx_chp_077","base.mx","base.state_mx_chis","077","Salto de Agua","Salto de Agua"
"res_city_mx_chp_078","base.mx","base.state_mx_chis","078","San Cristóbal de las Casas","San Cristóbal de las Casas"
"res_city_mx_chp_079","base.mx","base.state_mx_chis","079","San Fernando","San Fernando"
"res_city_mx_chp_080","base.mx","base.state_mx_chis","080","Siltepec","Siltepec"
"res_city_mx_chp_081","base.mx","base.state_mx_chis","081","Simojovel","Simojovel"
"res_city_mx_chp_082","base.mx","base.state_mx_chis","082","Sitalá","Sitalá"
"res_city_mx_chp_083","base.mx","base.state_mx_chis","083","Socoltenango","Socoltenango"
"res_city_mx_chp_084","base.mx","base.state_mx_chis","084","Solosuchiapa","Solosuchiapa"
"res_city_mx_chp_085","base.mx","base.state_mx_chis","085","Soyaló","Soyaló"
"res_city_mx_chp_086","base.mx","base.state_mx_chis","086","Suchiapa","Suchiapa"
"res_city_mx_chp_087","base.mx","base.state_mx_chis","087","Suchiate","Suchiate"
"res_city_mx_chp_088","base.mx","base.state_mx_chis","088","Sunuapa","Sunuapa"
"res_city_mx_chp_089","base.mx","base.state_mx_chis","089","Tapachula","Tapachula"
"res_city_mx_chp_090","base.mx","base.state_mx_chis","090","Tapalapa","Tapalapa"
"res_city_mx_chp_091","base.mx","base.state_mx_chis","091","Tapilula","Tapilula"
"res_city_mx_chp_092","base.mx","base.state_mx_chis","092","Tecpatán","Tecpatán"
"res_city_mx_chp_093","base.mx","base.state_mx_chis","093","Tenejapa","Tenejapa"
"res_city_mx_chp_094","base.mx","base.state_mx_chis","094","Teopisca","Teopisca"
"res_city_mx_chp_096","base.mx","base.state_mx_chis","096","Tila","Tila"
"res_city_mx_chp_097","base.mx","base.state_mx_chis","097","Tonalá","Tonalá"
"res_city_mx_chp_098","base.mx","base.state_mx_chis","098","Totolapa","Totolapa"
"res_city_mx_chp_099","base.mx","base.state_mx_chis","099","La Trinitaria","La Trinitaria"
"res_city_mx_coa_001","base.mx","base.state_mx_coah","001","Abasolo","Abasolo"
"res_city_mx_coa_002","base.mx","base.state_mx_coah","002","Acuña","Acuña"
"res_city_mx_coa_003","base.mx","base.state_mx_coah","003","Allende","Allende"
"res_city_mx_coa_004","base.mx","base.state_mx_coah","004","Arteaga","Arteaga"
"res_city_mx_coa_005","base.mx","base.state_mx_coah","005","Candela","Candela"
"res_city_mx_coa_006","base.mx","base.state_mx_coah","006","Castaños","Castaños"
"res_city_mx_coa_007","base.mx","base.state_mx_coah","007","Cuatro Ciénegas","Cuatro Ciénegas"
"res_city_mx_coa_008","base.mx","base.state_mx_coah","008","Escobedo","Escobedo"
"res_city_mx_coa_009","base.mx","base.state_mx_coah","009","Francisco I. Madero","Francisco I. Madero"
"res_city_mx_coa_010","base.mx","base.state_mx_coah","010","Frontera","Frontera"
"res_city_mx_coa_011","base.mx","base.state_mx_coah","011","General Cepeda","General Cepeda"
"res_city_mx_coa_012","base.mx","base.state_mx_coah","012","Guerrero","Guerrero"
"res_city_mx_coa_013","base.mx","base.state_mx_coah","013","Hidalgo","Hidalgo"
"res_city_mx_coa_014","base.mx","base.state_mx_coah","014","Jiménez","Jiménez"
"res_city_mx_coa_015","base.mx","base.state_mx_coah","015","Juárez","Juárez"
"res_city_mx_coa_016","base.mx","base.state_mx_coah","016","Lamadrid","Lamadrid"
"res_city_mx_coa_017","base.mx","base.state_mx_coah","017","Matamoros","Matamoros"
"res_city_mx_coa_018","base.mx","base.state_mx_coah","018","Monclova","Monclova"
"res_city_mx_coa_019","base.mx","base.state_mx_coah","019","Morelos","Morelos"
"res_city_mx_coa_020","base.mx","base.state_mx_coah","020","Múzquiz","Múzquiz"
"res_city_mx_coa_021","base.mx","base.state_mx_coah","021","Nadadores","Nadadores"
"res_city_mx_coa_022","base.mx","base.state_mx_coah","022","Nava","Nava"
"res_city_mx_coa_023","base.mx","base.state_mx_coah","023","Ocampo","Ocampo"
"res_city_mx_coa_024","base.mx","base.state_mx_coah","024","Parras","Parras"
"res_city_mx_coa_025","base.mx","base.state_mx_coah","025","Piedras Negras","Piedras Negras"
"res_city_mx_coa_026","base.mx","base.state_mx_coah","026","Progreso","Progreso"
"res_city_mx_coa_027","base.mx","base.state_mx_coah","027","Ramos Arizpe","Ramos Arizpe"
"res_city_mx_coa_028","base.mx","base.state_mx_coah","028","Sabinas","Sabinas"
"res_city_mx_coa_029","base.mx","base.state_mx_coah","029","Sacramento","Sacramento"
"res_city_mx_coa_030","base.mx","base.state_mx_coah","030","Saltillo","Saltillo"
"res_city_mx_coa_031","base.mx","base.state_mx_coah","031","San Buenaventura","San Buenaventura"
"res_city_mx_coa_032","base.mx","base.state_mx_coah","032","San Juan de Sabinas","San Juan de Sabinas"
"res_city_mx_coa_033","base.mx","base.state_mx_coah","033","San Pedro","San Pedro"
"res_city_mx_coa_034","base.mx","base.state_mx_coah","034","Sierra Mojada","Sierra Mojada"
"res_city_mx_coa_035","base.mx","base.state_mx_coah","035","Torreón","Torreón"
"res_city_mx_coa_036","base.mx","base.state_mx_coah","036","Viesca","Viesca"
"res_city_mx_coa_037","base.mx","base.state_mx_coah","037","Villa Unión","Villa Unión"
"res_city_mx_coa_038","base.mx","base.state_mx_coah","038","Zaragoza","Zaragoza"
"res_city_mx_col_001","base.mx","base.state_mx_col","001","Armería","Armería"
"res_city_mx_col_002","base.mx","base.state_mx_col","002","Colima","Colima"
"res_city_mx_col_003","base.mx","base.state_mx_col","003","Comala","Comala"
"res_city_mx_col_004","base.mx","base.state_mx_col","004","Coquimatlán","Coquimatlán"
"res_city_mx_col_005","base.mx","base.state_mx_col","005","Cuauhtémoc","Cuauhtémoc"
"res_city_mx_col_006","base.mx","base.state_mx_col","006","Ixtlahuacán","Ixtlahuacán"
"res_city_mx_col_007","base.mx","base.state_mx_col","007","Manzanillo","Manzanillo"
"res_city_mx_col_008","base.mx","base.state_mx_col","008","Minatitlán","Minatitlán"
"res_city_mx_col_009","base.mx","base.state_mx_col","009","Tecomán","Tecomán"
"res_city_mx_col_010","base.mx","base.state_mx_col","010","Villa de Álvarez","Villa de Álvarez"
"res_city_mx_cmx_002","base.mx","base.state_mx_df","002","Azcapotzalco","Azcapotzalco"
"res_city_mx_cmx_003","base.mx","base.state_mx_df","003","Coyoacán","Coyoacán"
"res_city_mx_cmx_004","base.mx","base.state_mx_df","004","Cuajimalpa de Morelos","Cuajimalpa de Morelos"
"res_city_mx_cmx_005","base.mx","base.state_mx_df","005","Gustavo A. Madero","Gustavo A. Madero"
"res_city_mx_cmx_006","base.mx","base.state_mx_df","006","Iztacalco","Iztacalco"
"res_city_mx_cmx_007","base.mx","base.state_mx_df","007","Iztapalapa","Iztapalapa"
"res_city_mx_cmx_008","base.mx","base.state_mx_df","008","La Magdalena Contreras","La Magdalena Contreras"
"res_city_mx_cmx_009","base.mx","base.state_mx_df","009","Milpa Alta","Milpa Alta"
"res_city_mx_cmx_010","base.mx","base.state_mx_df","010","Álvaro Obregón","Álvaro Obregón"
"res_city_mx_cmx_011","base.mx","base.state_mx_df","011","Tláhuac","Tláhuac"
"res_city_mx_cmx_012","base.mx","base.state_mx_df","012","Tlalpan","Tlalpan"
"res_city_mx_cmx_013","base.mx","base.state_mx_df","013","Xochimilco","Xochimilco"
"res_city_mx_cmx_014","base.mx","base.state_mx_df","014","Benito Juárez","Benito Juárez"
"res_city_mx_cmx_015","base.mx","base.state_mx_df","015","Cuauhtémoc","Cuauhtémoc"
"res_city_mx_cmx_016","base.mx","base.state_mx_df","016","Miguel Hidalgo","Miguel Hidalgo"
"res_city_mx_cmx_017","base.mx","base.state_mx_df","017","Venustiano Carranza","Venustiano Carranza"
"res_city_mx_dur_001","base.mx","base.state_mx_dgo","001","Canatlán","Canatlán"
"res_city_mx_dur_002","base.mx","base.state_mx_dgo","002","Canelas","Canelas"
"res_city_mx_dur_003","base.mx","base.state_mx_dgo","003","Coneto de Comonfort","Coneto de Comonfort"
"res_city_mx_dur_004","base.mx","base.state_mx_dgo","004","Cuencamé","Cuencamé"
"res_city_mx_dur_005","base.mx","base.state_mx_dgo","005","Durango","Durango"
"res_city_mx_dur_006","base.mx","base.state_mx_dgo","006","General Simón Bolívar","General Simón Bolívar"
"res_city_mx_dur_007","base.mx","base.state_mx_dgo","007","Gómez Palacio","Gómez Palacio"
"res_city_mx_dur_008","base.mx","base.state_mx_dgo","008","Guadalupe Victoria","Guadalupe Victoria"
"res_city_mx_dur_009","base.mx","base.state_mx_dgo","009","Guanaceví","Guanaceví"
"res_city_mx_dur_010","base.mx","base.state_mx_dgo","010","Hidalgo","Hidalgo"
"res_city_mx_dur_011","base.mx","base.state_mx_dgo","011","Indé","Indé"
"res_city_mx_dur_012","base.mx","base.state_mx_dgo","012","Lerdo","Lerdo"
"res_city_mx_dur_013","base.mx","base.state_mx_dgo","013","Mapimí","Mapimí"
"res_city_mx_dur_014","base.mx","base.state_mx_dgo","014","Mezquital","Mezquital"
"res_city_mx_dur_015","base.mx","base.state_mx_dgo","015","Nazas","Nazas"
"res_city_mx_dur_016","base.mx","base.state_mx_dgo","016","Nombre de Dios","Nombre de Dios"
"res_city_mx_dur_017","base.mx","base.state_mx_dgo","017","Ocampo","Ocampo"
"res_city_mx_dur_018","base.mx","base.state_mx_dgo","018","El Oro","El Oro"
"res_city_mx_dur_019","base.mx","base.state_mx_dgo","019","Otáez","Otáez"
"res_city_mx_dur_020","base.mx","base.state_mx_dgo","020","Pánuco de Coronado","Pánuco de Coronado"
"res_city_mx_dur_021","base.mx","base.state_mx_dgo","021","Peñón Blanco","Peñón Blanco"
"res_city_mx_dur_022","base.mx","base.state_mx_dgo","022","Poanas","Poanas"
"res_city_mx_dur_023","base.mx","base.state_mx_dgo","023","Pueblo Nuevo","Pueblo Nuevo"
"res_city_mx_dur_024","base.mx","base.state_mx_dgo","024","Rodeo","Rodeo"
"res_city_mx_dur_025","base.mx","base.state_mx_dgo","025","San Bernardo","San Bernardo"
